Ананси;"Ананси; кто такой Ананси";"Ананси - аккуматизированный злодей, захвативший Нору Сезер. Это произошло из-за Альи Сезер и сильной эмоции негодования. Способности: Создаёт паутину изо рта, обладает паучьими способностями; увеличенная физическая сила. Эпизод: «Ананси»";https://static.wikia.nocookie.net/ladybug/images/2/26/Anansi_Square.png/revision/latest?cb=20190324082339&path-prefix=ru;";"
Анимаэстро;"Анимаэстро; кто такой Анимаэстро";Анимаэстро - аккуматизированный злодей, захвативший Томаса Астрюка. Это произошло из-за того, что никто не придавал ему значения и сильной эмоции: досады. Способности: Может превращаться в различных 2D-анимированных существ, которые дают ему любые сверхспособности, если он требует, до тех пор, пока он может быть замечен кем-то. Эпизод: «Анимаэстро»;https://i.pinimg.com/564x/a9/1f/37/a91f374f6b8ce1ae1d858d08bc244f6e.jpg;";"
Анимен;"Анимен; кто такой Анимен";Анимен - аккуматизированный злодей, захвативший Отиса Сезер. Это произошло из-за Ле Тьен Ким и сильной эмоции злости. Способности: Может превращаться в любое животное по своему выбору. При каждом превращении постепенно устаёт. Эпизод: «Анимен»;https://i.pinimg.com/564x/1a/bd/39/1abd3999321d675cbed8b7526aad27ee.jpg;";"
Антибаг;"Антибаг; кто такой Антибаг";Антибаг - аккуматизированный злодей, захвативший Хлою Буржуа. Это произошло из-за Ледибаг и сильной эмоции обиды. Способности: Имеет те же способности, что и Ледибаг, включая йо-йо и версию Талисмана Удачи, названную Анти-Талисман. Эпизод: «Антибаг»;https://static.wikia.nocookie.net/ladybug/images/3/3e/Antibug_Square.png/revision/latest?cb=20190315173626&path-prefix=ru;";"
Бабблер;"Бабблер; кто такой Бабблер";Бабблер - аккуматизированный злодей, захвативший Нино Лейфа. Это произошло из-за: Габриэля Агреста и сильной эмоции досады. Способности: Может создавать пузыри разные за формой, размером, цветом и возможностями. Эти пузыри невозможно лопнуть просто так. Эпизод: «Бабблер»;https://static.wikia.nocookie.net/ladybug/images/1/1a/Bubbler_Square.png/revision/latest?cb=20190314093635&path-prefix=ru;";"
Бейкерикс;"Бейкерикс; кто такой Бейкерикс";Бейкерикс - аккуматизированный злодей, захвативший Ролланда Дюпэн. Это произошло из-за Маринетт Дюпэн-Чэн и сильной эмоции злости. Способности: Когда он выпивает специальный ингредиент для хлеба, его хлебное тело утолщается и набухает, отчего он получает дополнительную силу. Эпизод: «Бейкерикс»;https://static.wikia.nocookie.net/anime-characters-fight/images/e/ee/%D0%91%D0%B5%D0%B9%D0%BA%D0%B5%D1%80%D0%B8%D0%BA%D1%81_2.png/revision/latest/scale-to-width-down/700?cb=20200811234024&path-prefix=ru;";"
Белый Кот;"Белый Кот; кто такой Белый Кот";Белый Кот - аккуматизированный злодей, захвативший Кота Нуара. Это произошло из-за: Бражника, Леди Баг и сильной эмоции шока. Способности: Те же силы, что и у Кота Нуара, но неограниченные. Эпизод: «Белый Кот»;https://static.wikia.nocookie.net/lady-bug/images/c/cd/Cat_Blanc_Square.png/revision/latest?cb=20210326092612;";"
Бефана;"Бефана; кто такой Бефана";Бефана - аккуматизированный злодей, захвативший Джина Дюпэн. Это произошло из-за: Маринетт Дюпэн-Чэн и сильной эмоции: грусть. Способности: Стреляет из пистоли, обращая людей или в угольные статуи, или в своих помощников. Эпизод: «Бефана»;https://static.wikia.nocookie.net/ladybug/images/4/48/Befana_Square.png/revision/latest?cb=20190324084750&path-prefix=ru;";"
Бэквордер;"Бэквордер; кто такой Бэквордер";Бэквордер - аккуматизированный злодей, захвативший Марианну Ленуар. Это произошло из-за Ледибаг (фактически), Мастер Фу (по мнению жертвы) и сильной эмоции отчаяния. Способности: Одним прикосновением меча она может заставить все и каждого вернуться назад во времени, одновременно крадя время этого человека и делая себя сильнее. Эпизод: «Бэквордер»;https://static.wikia.nocookie.net/ladybug/images/1/16/Backwarder_Square.png/revision/latest?cb=20190321124634&path-prefix=ru;";"
Вольпина;"Вольпина; кто такой Вольпина";Вольпина - аккуматизированный злодей, захвативший Лилу Росси. Это произошло из-за Ледибаг и сильной эмоции обиды. Способности: Использует флейту, чтобы создавать иллюзии. Копирует способности Рены Руж, но, в отличие от неё, может использовать их в безграничном количестве. Эпизод: «Вольпина»;https://static.wikia.nocookie.net/ladybug/images/0/04/VP_%28556%29.png/revision/latest?cb=20190715080344&path-prefix=ru;";"
Времеход;"Времеход; кто такой Времеход";Времеход - аккуматизированный злодей, захвативший Аликс Кюбдэль. Это произошло из-за Хлои Буржуа и сильной эмоции обиды. Способности: Может заряжать свои ролики, чтобы путешествовать во времени, собирая энергию людей, которых она касается. Эпизод: «Времеход»;https://static.wikia.nocookie.net/ladybug/images/5/53/Timebreaker_Square.png/revision/latest?cb=20190314153305&path-prefix=ru;";"
Геймер;"Геймер; кто такой Геймер";Геймер - аккуматизированный злодей, захвативший Макса Канте. Это произошло из-за Маринетт Дюпэн-Чэн и сильной эмоции досады. Способности: Управляет гигантским роботом из игры «Ultimate Mecha Strike III». Эпизод: «Геймер»;https://static.wikia.nocookie.net/ladybug/images/f/fd/Gamer_Square.png/revision/latest?cb=20190315093256&path-prefix=ru;";"
Геймер;"Геймер; кто такой Геймер";Геймер - аккуматизированный злодей, захвативший Макса Канте. Это произошло из-за того, что Никто не смог составить ему компанию. Масла в огонь подлила Хлоя Буржуа. И он испытал сильную эмоцию разочарования. Способности: Управляет гигантской реальной видеоигрой, которая противостоит игроку. Играбельными аватарами стали злодеи Акумы. После каждого раунда, побежденный объект Аватара-Акумы добавляется в арсенал победителей, где он может быть позже выбран в качестве усиления в финальной битве, предоставляя пользователю доступ к силам этих злодеев. Эпизод: «Геймер 2.0»;https://static.wikia.nocookie.net/ladybug/images/f/fd/Gamer_Square.png/revision/latest?cb=20190315093256&path-prefix=ru;";"
Гигантитан;"Гигантитан; кто такой Гигантитан";Гигантитан - аккуматизированный злодей, захвативший Августа. Это произошло из-за его капризов и сильной эмоции огорчения. Способности: Обладает огромной силой и размером. Эпизод: «Гигантитан»;https://static.wikia.nocookie.net/ladybug/images/1/13/Gigantitan_Square.png/revision/latest?cb=20190324044825&path-prefix=ru;";"
Гласиатор;"Гласиатор; кто такой Гласиатор";Гласиатор - аккуматизированный злодей, захвативший Андре. Это произошло из-за Маринетт Дюпэн-Чэн и сильной эмоции огорчения. Способности: Превращается в гигантского, регенерирующего монстра из мороженого, способного стрелять мороженым в людей и превращать их в тающие статуи. Эпизод: «Гласиатор»;https://static.wikia.nocookie.net/ladybug/images/d/d3/Glaciator_Square.png/revision/latest?cb=20190317044913&path-prefix=ru;";"
Горизилла;"Горизилла; кто такой Горизилла";Горизилла - аккуматизированный злодей, захвативший Шофёра Агрестов. Это произошло из-за Габриэля Агреста, Роджера Ренкомпри и сильной эмоции досады. Способности: Обладает огромной силой, ростом и острым обонянием. Эпизод: «Горизилла»;https://media.myshows.me/episodes/normal/8/e7/8e74e79887622907910616b456b1f0d1.jpg;";"
Десперада;"Десперада; кто такой Десперада";Десперада - аккуматизированный злодей, захвативший Вивику. Это произошло из-за Джаггеда Стоуна и сильной эмоции обиды. Способности: С помощью гитары и призываемых труб и рожков заставляет людей исчезать. При этом на футляре гитары появляются наклейки с их изображениями. Эпизод: «Десперада»;https://static.wixstatic.com/media/c52eec_2b7ce1a6aa6b4bf687cd2af71470699f~mv2.png/v1/fill/w_488,h_274,al_c,q_85,usm_0.66_1.00_0.01/Image5.webp;";"
Жакади;"Жакади; кто такой Жакади";Жакади - аккуматизированный злодей, захвативший Жака Гримо. Это произошло из-за Габриэля Агреста, Алека Катальди и сильной эмоции отчаяния. Способности: Использует карты для управления людьми. Эпизод: «Жакади»;https://static.wikia.nocookie.net/ladybug/images/d/de/Simon_Says_Square.png/revision/latest?cb=20190315133338&path-prefix=ru;";"
Злой Гитарист;"Злой Гитарист; кто такой Злой Гитарист";Злой Гитарист - аккуматизированный злодей, захвативший Джаггеда Стоуна. Это произошло из-за ХУ-я и сильной эмоции злости. Способности: Стреляет лучами с разными эффектами из своей гитары, играя на ней. Может заставлять людей танцевать, отбрасывать их в сторону или устраивать мини-землетрясение. Крокодил Клык превращается в дракона, на котором летает злодей. Эпизод: «Злой Гитарист»;https://static.wikia.nocookie.net/ladybug/images/8/8b/Guitar_Villain_Square.png/revision/latest?cb=20190315110810&path-prefix=ru;";"
Зомбизу;"Зомбизу; кто такой Зомбизу";Зомбизу - аккуматизированный злодей, захвативший Калин Бюстье. Это произошло из-за сильной эмоции страха. Способности: После использования помады посылает людям поцелуй, после чего те превращаются в зомби-целовашек и также заражают других. Эпизод: «Зомбизу»;https://static.wikia.nocookie.net/ladybug/images/d/d2/Zombizou_Square.png/revision/latest?cb=20190317051545&path-prefix=ru;";"
